Fibanachi	eps=	0,1	Func index=	0	
a	b	x1	x2	f1	f2	function_calls	b - a	
0,08359237963557582	0,13932068264816103	0,10487915632278648	0,1180340557275541	0,8978146271594497	0,8981127038505388	8	0,055728303012585204	
0,08359237963557582	0,1180340557275541	0,09674718647626197	0,10487915632278648	0,8989072207404312	0,8978146271594497	9	0,03444167609197828	
0,09674718647626197	0,1180340557275541	0,10487915632278648	0,10990199331694811	0,8978146271594497	0,8976329847646349	10	0,021286869251292126	
0,10487915632278648	0,1180340557275541	0,10990199331694811	0,11301127595482464	0,8976329847646349	0,897704815692018	11	0,01315489940476762	
0,10487915632278648	0,11301127595482464	0,10798849618209519	0,10990199331694811	0,8976584984767789	0,8976329847646349	12	0,008132119632038165	
0,10798849618209519	0,11301127595482464	0,10990199331694811	0,1110978360414039	0,8976329847646349	0,897644089783295	13	0,005022779772729455	
0,10798849618209519	0,1110978360414039	0,10918439612798315	0,10990199331694811	0,8976362920022064	0,8976329847646349	14	0,00310933985930871	
0,10918439612798315	0,1110978360414039	0,10990199331694811	0,11038029607387112	0,8976329847646349	0,8976349386263398	15	0,0019134399134207447	
0,10918439612798315	0,11038029607387112	0,10966275610633834	0,10990199331694811	0,8976332545144053	0,8976329847646349	16	0,0011958999458879654	
0,10966275610633834	0,11038029607387112	0,10990199331694811	0,11014111608469353	0,8976329847646349	0,8976329847646349	16	0,0007175399675327793	
Fibanachi	eps=	0,0010000000000000002	Func index=	1	
a	b	x1	x2	f1	f2	function_calls	b - a	
6	9,9	7,489667405764967	8,410332594235033	6,302862993202564	6,100777260989764	2	3,9000000000000004	
7,489667405764967	9,9	8,410332594235033	8,979334896747476	6,100777260989764	6,307049622187796	3	2,410332594235033	
7,489667405764967	8,979334896747476	8,058669793494952	8,410332594235033	6,15280951277838	6,100777260989764	4	1,4896674909825087	
8,058669793494952	8,979334896747476	8,410332594235033	8,627672181224936	6,100777260989764	6,114443258349521	5	0,9206651032525244	
8,058669793494952	8,627672181224936	8,276009465702398	8,410332594235033	6,113063947097807	6,100777260989764	6	0,5690023877299843	
8,276009465702398	8,627672181224936	8,410332594235033	8,493349137909842	6,100777260989764	6,10012295888648	7	0,35166271552253825	
8,410332594235033	8,627672181224936	8,493349137909842	8,544655584882891	6,10012295888648	6,103076002838274	8	0,21733958698990286	
8,410332594235033	8,544655584882891	8,461638988540846	8,493349137909842	6,099637965279614	6,10012295888648	9	0,13432299064785802	
8,410332594235033	8,493349137909842	8,442042776153738	8,461638988540846	6,099805151727426	6,099637965279614	10	0,08301654367480893	
8,442042776153738	8,493349137909842	8,461638988540846	8,47375295807244	6,099637965279614	6,099709873145983	11	0,05130636175610448	
8,442042776153738	8,47375295807244	8,45415677823504	8,461638988540846	6,099661166919018	6,099637965279614	12	0,03171018191870267	
8,45415677823504	8,47375295807244	8,461638988540846	8,466270780316343	6,099637965279614	6,099649304789984	13	0,01959617983740003	
8,45415677823504	8,466270780316343	8,458788602560244	8,461638988540846	6,099640796644879	6,099637965279614	14	0,012114002081302644	
8,458788602560244	8,466270780316343	8,461638988540846	8,463420426885447	6,099637965279614	6,09963998136967	15	0,007482177756099162	
8,458788602560244	8,463420426885447	8,460570073454553	8,461638988540846	6,099638155628403	6,099637965279614	16	0,004631824325203482	
8,460570073454553	8,463420426885447	8,461638988540846	8,462351544348863	6,099637965279614	6,099638421148873	17	0,002850353430893904	
8,460570073454553	8,462351544348863	8,461282661812277	8,461638988540846	6,099637912276382	6,099637965279614	18	0,001781470894309578	
8,460570073454553	8,461638988540846	8,460926378483318	8,461282661812277	6,099637975762636	6,099637912276382	19	0,0010689150862930319	
8,460926378483318	8,461638988540846	8,461282661812277	8,461282683512081	6,099637912276382	6,099637912276382	19	0,0007126100575280958	
Fibanachi	eps=	0,0010000000000000002	Func index=	2	
a	b	x1	x2	f1	f2	function_calls	b - a	
0	6,283185307179586	2,399963253180874	3,883222053998712	-7,003410314009404	-2,646092166699945	2	6,283185307179586	
0	3,883222053998712	1,4832588532585982	2,399963253180874	-3,9390009154079917	-7,003410314009404	3	3,883222053998712	
1,4832588532585982	3,883222053998712	2,399963253180874	2,9665177065171964	-7,003410314009404	-7,060041572236353	4	2,399963200740114	
2,399963253180874	3,883222053998712	2,9665177065171964	3,3166675682522193	-7,060041572236353	-6,0526528024387245	5	1,483258800817838	
2,399963253180874	3,3166675682522193	2,750113082505726	2,9665177065171964	-7,268503555304861	-7,060041572236353	6	0,9167043150713452	
2,399963253180874	2,9665177065171964	2,6163678972229256	2,750113082505726	-7,2499449526837	-7,268503555304861	7	0,5665544533363223	
2,6163678972229256	2,9665177065171964	2,750113082505726	2,8327725412649776	-7,268503555304861	-7,224704812739848	8	0,35014980929427075	
2,6163678972229256	2,8327725412649776	2,6990273760127588	2,750113082505726	-7,274188804681271	-7,268503555304861	9	0,21640464404205195	
2,6163678972229256	2,750113082505726	2,66745359133625	2,6990273760127588	-7,269738998542542	-7,274188804681271	10	0,13374518528280044	
2,66745359133625	2,750113082505726	2,6990273760127588	2,718539285449574	-7,274188804681271	-7,273912777962809	11	0,08265949116947624	
2,66745359133625	2,718539285449574	2,6869654883934224	2,6990273760127588	-7,2731995586423555	-7,274188804681271	12	0,0510856941133242	
2,6869654883934224	2,718539285449574	2,6990273760127588	2,7064773854505946	-7,274188804681271	-7,2743579700639645	13	0,0315737970561516	
2,6990273760127588	2,718539285449574	2,7064773854505946	2,711089283664608	-7,2743579700639645	-7,274292932842757	14	0,019511909436815245	
2,6990273760127588	2,711089283664608	2,703639281879642	2,7064773854505946	-7,274333420706016	-7,2743579700639645	15	0,012061907651849335	
2,703639281879642	2,711089283664608	2,7064773854505946	2,708251187746526	-7,2743579700639645	-7,274348341631498	16	0,0074500017849659095	
2,703639281879642	2,708251187746526	2,7054130918284436	2,7064773854505946	-7,2743545241059815	-7,2743579700639645	17	0,00461190586688387	
2,7054130918284436	2,708251187746526	2,7064773854505946	2,707186901777245	-7,2743579700639645	-7,274356425111435	18	0,002838095918082484	
2,7054130918284436	2,707186901777245	2,7061226158079643	2,7064773854505946	-7,274357589729649	-7,2743579700639645	19	0,0017738099488013859	
